_element_key,_element_name,_element_type,_list_child_element_keys
Date_and_Time,Date_and_Time,dateTime,[]
Financial_Location_Type,Financial_Location_Type,string,[]
Location,Location,geopoint,"[""Location_accuracy"",""Location_altitude"",""Location_latitude"",""Location_longitude""]"
Location_Name,Location_Name,string,[]
Location_Picture,Location_Picture,mimeUri,"[""Location_Picture_contentType"",""Location_Picture_uriFragment""]"
Location_Picture_contentType,contentType,mimeType,[]
Location_Picture_uriFragment,uriFragment,rowpath,[]
Location_Type,Location_Type,string,[]
Location_accuracy,accuracy,number,[]
Location_altitude,altitude,number,[]
Location_latitude,latitude,number,[]
Location_longitude,longitude,number,[]
Market_Location_Type,Market_Location_Type,string,[]
Operation_Status_Comment,Operation_Status_Comment,string,[]
Operational_Barriers,Operational_Barriers,array,"[""Operational_Barriers_items""]"
Operational_Barriers_items,items,string,[]
Operational_Status,Operational_Status,string,[]
barangay_village,barangay_village,string,[]
country,country,string,[]
municipality_district,municipality_district,string,[]
province,province,string,[]
region,region,string,[]
